
   51   99
  150  455
  605  760
 1388 1042
 2505 1295
 3812 1664
 5482 1974
 7506 2236
 9830 2503
12398 2830

15270 3159
18475 3460
21988 3758
25784 4078
29875 4408
34441 4569
39127 4914
44081 5296
49412 5607
55030 5936

 60992 6225
 67276 6498
 73885 6751
 80651 7152
 87917 7358
 95295 7757
103522 7612
111319 8203
119634 8580
128350 8861

137490  9024
146613  9509
156186  9848
166052 10200
176471 10304
186913 10690
197683 11053
208791 11383
220240 11677
231993 11973

244024 12295
256320 12657
269047 12894
281980 13230
295267 13516
308854 13808
323344 13502
336987 14348
351486 14643
366312 14916

381297 15336
396653 15689
412389 15967
428359 16317
444775 16525
461362 16868
478585 16880
495475 17530
513433 17417
-
